USN,Status,Details,SupplementaryDataStatus
4AL22CS001,SUCCESS,"Student imported successfully","Present Address: Success, Permanent Address: Success, Entrance Exam: Success, SSLC: Success, PUC: Success"
4AL22CS002,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
4AL22CS003,SUCCESS,"Student imported successfully","Present Address: Success, Permanent Address: Success, Entrance Exam: Success, SSLC: Success, PUC: Success"
4AL22CS004,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
4AL22CS005,SUCCESS,"Student imported successfully","Present Address: Success, Permanent Address: Success, Entrance Exam: Success, SSLC: Success, PUC: Success"
4AL22CS006,SUCCESS,"Student imported successfully","Present Address: Success, Permanent Address: Success, Entrance Exam: Success, SSLC: Success, PUC: Success"
4AL22CS007,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
4AL22CS008,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
4AL22CS009,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
4AL22CS010,FAILED,"Error: 
Invalid `prisma.user.create()` invocation in
C:\Users\dell5\Desktop\ERP\ERP\backend\scripts\import2022BatchStudents.ts:176:45

  173 // Create new user
  174 const passwordHash = await bcrypt.hash(DEFAULT_PASSWORD, 10);
  175 
→ 176 const newUser = await prisma.user.create(
Unique constraint failed on the constraint: `User_username_key`","Not attempted"
